0.8907912447,0.8954281947,0.9158331420,0.9159144384
-18.0576943495,-12.0633513422,-30.9892710505,-30.9299762146
0.0471933726,0.0513761664,0.0402539211,0.0402857408
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0413161165,0.0413161165,0.0414115938,0.0414115938
0.0819616146,0.0414329299,0.0823040779,0.0414583018
0.2429830263,0.2383456961,0.2448075485,0.2390884341
1.0540135667,0.9315323203,-0.1887803990,-0.1124969692
3.9263024567,4.3138147193,0.5336223769,0.6400453943
9.7895320729,8.7360647323,1.4458754320,1.3888381506
17.2557010640,12.5209573281,3.3446790919,0.2369055603
50.4726367070,49.1118636540,13.7466854115,37.0621078037
174.9517715568,149.4261132951,66.6935322309,-142.1651439530
312.3678140323,358.2214096885,1108.9284618259,1630.2814856992
129.3839756771,48.8671568162,665.4743542962,331.4988915348
